知识点编号,知识点内容
18.4.2,探究电流产生热量与电阻和电流的关系
18.4.3,焦耳定律的应用
18.4.4,电功与热量的综合计算
19.1.1,家庭电路工作电压、零线、火线的辨别
19.1.2,家庭电路的故障分析
19.1.3,安全用电原则
19.2.1,家庭电路的组成
19.2.2,家庭电路的连接
19.2.3,测电笔的使用
19.2.4,插座的构造与工作方式
19.2.5,家庭电路电流过大的原因
19.2.6,熔断器的作用及保险丝的选择
20.1.1,磁现象与磁性材料
20.1.2,磁场和磁感线
20.1.3,地磁场
20.2.1,通电直导线周围的磁场
20.2.2,通电螺线管的磁场
20.2.3,安培定则
20.3.1,电磁铁的构造和原理
20.3.2,影响电磁铁磁性强弱的因素及其探究
20.3.3,电磁继电器的组成、原理和特点
20.4.1,磁场对通电导线的作用
20.4.2,直流电动机的构造原理与工作过程
20.4.3,扬声器和耳机的构造和原理
20.6.1,电磁感应
20.6.2,发电机的构造和原理
21.1.1,电磁波的海洋
21.2.1,广播、电视和移动通信
22.1.1,能源利用的现状和面临的挑战
22.2.1,新能源的发展
